product_category_name_english,orders,avg_delay,avg_review,late_pct,risk_score
agro_industry_and_commerce,206,-11.46116504854369,4.087378640776699,3.3980582524271843,3.10114054105005
air_conditioning,289,-14.16955017301038,4.052816901408451,3.8062283737024223,3.605195184950533
art,197,-12.776649746192893,4.082051282051282,6.091370558375635,5.5915657946114825
audio,362,-10.149171270718233,3.835195530726257,11.602209944751381,13.514305997098678
auto,4140,-11.437062092292825,4.116857770187851,7.028985507246377,6.207593934186846
baby,2982,-11.646545942320591,4.07874281851977,7.679409792085848,7.074711420488685
bed_bath_table,10953,-11.656167260111385,3.92466069614994,7.03003743266685,7.559675558883832
books_general_interest,537,-12.152985074626866,4.512195121951219,6.145251396648044,2.9976836081209997
books_technical,263,-11.307984790874524,4.3893129770992365,7.984790874524715,4.876208167648682
christmas_supplies,150,-12.053333333333333,4.06993006993007,10.0,9.3006993006993
computers,199,-11.577889447236181,4.219387755102041,5.025125628140704,3.922674597477183
computers_accessories,7644,-12.419861311003533,3.986198738170347,6.488749345892203,6.578302274561851
consoles_games,1089,-11.679522497704315,4.138090824837813,5.876951331496786,5.06539827459871
construction_tools_construction,916,-11.62117903930131,4.088913282107574,6.331877729257641,5.768889698445489
construction_tools_lights,301,-11.222591362126245,4.082191780821918,7.308970099667775,6.708232831201928
construction_tools_safety,183,-12.387978142076502,3.967032967032967,2.73224043715847,2.8223142977241333
cool_stuff,3718,-12.492469069392147,4.194361615613987,5.836471221086606,4.7020852450716735
costruction_tools_garden,232,-13.543103448275861,4.116379310344827,5.603448275862069,4.9513228299643295
costruction_tools_tools,103,-12.20388349514563,4.444444444444445,5.825242718446602,3.2362459546925555
drinks,361,-11.529085872576177,4.119113573407202,4.43213296398892,3.904205768832345
electronics,2729,-11.139978013924514,4.067158671586716,7.585196042506413,7.075784352566867
fashion_bags_accessories,1985,-13.33551637279597,4.194430379746835,5.289672544080604,4.261199502598603
fashion_male_clothing,125,-12.712,3.7580645161290325,5.6000000000000005,6.954838709677419
fashion_shoes,257,-14.832684824902724,4.300395256916996,4.280155642023346,2.9944171882930126
fashion_underwear_beach,127,-10.929133858267717,4.0476190476190474,9.448818897637794,8.998875140607424
fixed_telephony,255,-14.717647058823529,3.757936507936508,3.9215686274509802,4.8708372237784
food,499,-9.867735470941884,4.262833675564682,7.014028056112225,5.170505281610446
food_drink,269,-11.613382899628252,4.368029739776952,4.089219330855019,2.584265004629566
furniture_bedroom,103,-13.514563106796116,4.252427184466019,6.796116504854369,5.080591950230937
furniture_decor,8160,-12.39950980392157,3.956311881188119,7.034313725490196,7.341629659289458
furniture_living_room,495,-11.8,3.9346938775510205,7.07070707070707,7.532467532467531
garden_tools,4268,-11.975866916588567,4.084433962264151,6.560449859418932,6.0065250835529005
health_beauty,9465,-11.969149498151083,4.189427781323123,7.5647120972002115,6.131745468279387
home_appliances,754,-12.652519893899203,4.218375499334221,4.509283819628647,3.524566713877517
home_appliances_2,231,-12.454545454545455,4.156521739130435,6.0606060606060606,5.111989459815547
home_confort,429,-9.811188811188812,3.857142857142857,9.324009324009324,10.656010656010656
home_construction,596,-11.557046979865772,3.95777027027027,5.87248322147651,6.120476600761836
housewares,6795,-12.300220750551876,4.109384251036116,5.003679175864606,4.456355476787647
industry_commerce_and_business,265,-12.545454545454545,4.125954198473282,6.415094339622642,5.607086273944981
kitchen_dining_laundry_garden_furniture,274,-12.430656934306569,4.033088235294118,4.37956204379562,4.234650064405324
luggage_accessories,1077,-12.619312906220983,4.352283317800559,4.178272980501393,2.7063371122539315
market_place,305,-14.62295081967213,4.072607260726072,3.606557377049181,3.3446951252502313
musical_instruments,651,-11.483870967741936,4.221705426356589,7.373271889400922,5.738577501518236
office_furniture,1668,-11.845923261390887,3.5139056831922613,7.973621103117506,11.849553005721178
perfumery,3340,-12.410179640718562,4.219285070591769,6.497005988023952,5.072309571304974
pet_shop,1924,-12.536382536382536,4.216710182767624,4.9376299376299375,3.8675952514072613
signaling_and_security,197,-12.705583756345177,4.091836734693878,4.060913705583756,3.6879726509893276
small_appliances,658,-13.876899696048632,4.226646248085758,4.5592705167173255,3.5259289600953294
sports_leisure,8431,-12.009489916963227,4.165552637861064,6.3100462578579055,5.265401454844191
stationery,2466,-12.038929440389294,4.245206038351693,6.772100567721005,5.1115406161908865
telephony,4430,-11.382618510158014,3.9943233424159854,6.952595936794583,6.992063443247777
toys,4030,-12.095805410771904,4.209552388097024,6.352357320099255,5.021205673626843
watches_gifts,5859,-11.920437083831313,4.071711092003439,7.202594299368494,6.686088396903034
